Candidato,Nota,Opçao,Instituição,Curso
8,13.000000,3,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Informática e de Computadores
6,13.000000,3,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Informática e de Computadores
4,13.000000,3,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Informática e de Computadores
13,20.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
12,20.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
11,20.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
10,20.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
9,20.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
2,20.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
1,20.000000,1,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores
5,15.000000,2,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Aeroespacial
7,17.000000,2,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Aeroespacial
